endpoint_group,sex,age_group,vacc_type_1,time_period,event_count
any_itp,Male,50-55,AZ,21-27,1
any_throm_haem,Female,45-50,AZ,21-27,5
any_throm,Female,45-50,AZ,21-27,1
throm_cvst,Female,45-50,AZ,21-27,1
any_haem,Female,45-50,AZ,21-27,1
CVT_SVT,Female,45-50,AZ,21-27,0
any_itp,Female,45-50,AZ,21-27,0
any_throm_haem,Male,45-50,AZ,21-27,9
any_throm,Male,45-50,AZ,21-27,9
throm_cvst,Male,45-50,AZ,21-27,9
any_haem,Male,45-50,AZ,21-27,0
CVT_SVT,Male,45-50,AZ,21-27,0
any_itp,Male,45-50,AZ,21-27,0
any_throm_haem,Female,40-45,AZ,21-27,7
any_throm,Female,40-45,AZ,21-27,5
throm_cvst,Female,40-45,AZ,21-27,5
any_haem,Female,40-45,AZ,21-27,1
CVT_SVT,Female,40-45,AZ,21-27,0
any_itp,Female,40-45,AZ,21-27,1
any_throm_haem,Male,40-45,AZ,21-27,1
any_throm,Male,40-45,AZ,21-27,1
throm_cvst,Male,40-45,AZ,21-27,1
any_haem,Male,40-45,AZ,21-27,1
CVT_SVT,Male,40-45,AZ,21-27,0
any_itp,Male,40-45,AZ,21-27,0
any_throm_haem,Female,35-40,AZ,21-27,0
any_throm,Female,35-40,AZ,21-27,0
throm_cvst,Female,35-40,AZ,21-27,0
any_haem,Female,35-40,AZ,21-27,0
CVT_SVT,Female,35-40,AZ,21-27,0
any_itp,Female,35-40,AZ,21-27,0
any_throm_haem,Male,35-40,AZ,21-27,0
any_throm,Male,35-40,AZ,21-27,0
throm_cvst,Male,35-40,AZ,21-27,0
any_haem,Male,35-40,AZ,21-27,0
CVT_SVT,Male,35-40,AZ,21-27,0
any_itp,Male,35-40,AZ,21-27,0
any_throm_haem,Female,30-35,AZ,21-27,1
any_throm,Female,30-35,AZ,21-27,1
throm_cvst,Female,30-35,AZ,21-27,1
any_haem,Female,30-35,AZ,21-27,0
CVT_SVT,Female,30-35,AZ,21-27,1
any_itp,Female,30-35,AZ,21-27,0
any_throm_haem,Male,30-35,AZ,21-27,1
any_throm,Male,30-35,AZ,21-27,1
throm_cvst,Male,30-35,AZ,21-27,1
any_haem,Male,30-35,AZ,21-27,0
CVT_SVT,Male,30-35,AZ,21-27,0
any_itp,Male,30-35,AZ,21-27,0
any_throm_haem,Female,25-30,AZ,21-27,1
any_throm,Female,25-30,AZ,21-27,0
throm_cvst,Female,25-30,AZ,21-27,0
any_haem,Female,25-30,AZ,21-27,1
CVT_SVT,Female,25-30,AZ,21-27,0
any_itp,Female,25-30,AZ,21-27,0
any_throm_haem,Male,25-30,AZ,21-27,1
any_throm,Male,25-30,AZ,21-27,1
throm_cvst,Male,25-30,AZ,21-27,1
any_haem,Male,25-30,AZ,21-27,0
CVT_SVT,Male,25-30,AZ,21-27,0
any_itp,Male,25-30,AZ,21-27,0
any_throm_haem,Female,15-20,AZ,21-27,0
any_throm,Female,15-20,AZ,21-27,0
throm_cvst,Female,15-20,AZ,21-27,0
any_haem,Female,15-20,AZ,21-27,0
CVT_SVT,Female,15-20,AZ,21-27,0
any_itp,Female,15-20,AZ,21-27,0
any_throm_haem,Male,15-20,AZ,21-27,0
any_throm,Male,15-20,AZ,21-27,0
throm_cvst,Male,15-20,AZ,21-27,0
any_haem,Male,15-20,AZ,21-27,0
CVT_SVT,Male,15-20,AZ,21-27,0
any_itp,Male,15-20,AZ,21-27,0
any_throm_haem,Female,90+,AZ,21-27,5
any_throm,Female,90+,AZ,21-27,5
throm_cvst,Female,90+,AZ,21-27,5
any_haem,Female,90+,AZ,21-27,0
CVT_SVT,Female,90+,AZ,21-27,0
any_itp,Female,90+,AZ,21-27,0
any_throm_haem,Male,90+,AZ,21-27,1
any_throm,Male,90+,AZ,21-27,1
throm_cvst,Male,90+,AZ,21-27,1
any_haem,Male,90+,AZ,21-27,0
CVT_SVT,Male,90+,AZ,21-27,0
any_itp,Male,90+,AZ,21-27,0
any_throm_haem,Female,85-90,AZ,21-27,13
any_throm,Female,85-90,AZ,21-27,10
throm_cvst,Female,85-90,AZ,21-27,10
any_haem,Female,85-90,AZ,21-27,1
CVT_SVT,Female,85-90,AZ,21-27,0
any_itp,Female,85-90,AZ,21-27,1
any_throm_haem,Male,85-90,AZ,21-27,7
any_throm,Male,85-90,AZ,21-27,6
throm_cvst,Male,85-90,AZ,21-27,6
any_haem,Male,85-90,AZ,21-27,1
CVT_SVT,Male,85-90,AZ,21-27,0
any_itp,Male,85-90,AZ,21-27,0
any_throm_haem,Female,80-85,AZ,21-27,20
any_throm,Female,80-85,AZ,21-27,16
throm_cvst,Female,80-85,AZ,21-27,16
any_haem,Female,80-85,AZ,21-27,1
CVT_SVT,Female,80-85,AZ,21-27,0
any_itp,Female,80-85,AZ,21-27,1
any_throm_haem,Male,80-85,AZ,21-27,14
any_throm,Male,80-85,AZ,21-27,14
throm_cvst,Male,80-85,AZ,21-27,14
any_haem,Male,80-85,AZ,21-27,0
CVT_SVT,Male,80-85,AZ,21-27,0
any_itp,Male,80-85,AZ,21-27,0
any_throm_haem,Female,20-25,AZ,21-27,0
any_throm,Female,20-25,AZ,21-27,0
throm_cvst,Female,20-25,AZ,21-27,0
any_haem,Female,20-25,AZ,21-27,0
CVT_SVT,Female,20-25,AZ,21-27,0
any_itp,Female,20-25,AZ,21-27,0
any_throm_haem,Male,20-25,AZ,21-27,0
any_throm,Male,20-25,AZ,21-27,0
throm_cvst,Male,20-25,AZ,21-27,0
any_haem,Male,20-25,AZ,21-27,0
CVT_SVT,Male,20-25,AZ,21-27,0
any_itp,Male,20-25,AZ,21-27,0
any_throm_haem,Female,75-80,PB,21-27,1
any_throm,Female,75-80,PB,21-27,1
throm_cvst,Female,75-80,PB,21-27,1
any_haem,Female,75-80,PB,21-27,0
CVT_SVT,Female,75-80,PB,21-27,0
any_itp,Female,75-80,PB,21-27,1
any_throm_haem,Male,75-80,PB,21-27,1
any_throm,Male,75-80,PB,21-27,1
throm_cvst,Male,75-80,PB,21-27,1
any_haem,Male,75-80,PB,21-27,0
CVT_SVT,Male,75-80,PB,21-27,0
any_itp,Male,75-80,PB,21-27,0
any_throm_haem,Female,70-75,PB,21-27,8
any_throm,Female,70-75,PB,21-27,7
throm_cvst,Female,70-75,PB,21-27,7
any_haem,Female,70-75,PB,21-27,0
CVT_SVT,Female,70-75,PB,21-27,0
any_itp,Female,70-75,PB,21-27,1
any_throm_haem,Male,70-75,PB,21-27,9
any_throm,Male,70-75,PB,21-27,5
throm_cvst,Male,70-75,PB,21-27,5
any_haem,Male,70-75,PB,21-27,1
CVT_SVT,Male,70-75,PB,21-27,0
any_itp,Male,70-75,PB,21-27,1
any_throm_haem,Female,65-70,PB,21-27,8
any_throm,Female,65-70,PB,21-27,8
throm_cvst,Female,65-70,PB,21-27,8
any_haem,Female,65-70,PB,21-27,0
CVT_SVT,Female,65-70,PB,21-27,0
any_itp,Female,65-70,PB,21-27,0
any_throm_haem,Male,65-70,PB,21-27,10
any_throm,Male,65-70,PB,21-27,8
throm_cvst,Male,65-70,PB,21-27,8
any_haem,Male,65-70,PB,21-27,1
CVT_SVT,Male,65-70,PB,21-27,0
any_itp,Male,65-70,PB,21-27,0
any_throm_haem,Female,60-65,PB,21-27,1
any_throm,Female,60-65,PB,21-27,1
throm_cvst,Female,60-65,PB,21-27,1
any_haem,Female,60-65,PB,21-27,0
CVT_SVT,Female,60-65,PB,21-27,0
any_itp,Female,60-65,PB,21-27,0
any_throm_haem,Male,60-65,PB,21-27,0
any_throm,Male,60-65,PB,21-27,0
throm_cvst,Male,60-65,PB,21-27,0
any_haem,Male,60-65,PB,21-27,0
CVT_SVT,Male,60-65,PB,21-27,0
any_itp,Male,60-65,PB,21-27,0
any_throm_haem,Female,55-60,PB,21-27,6
any_throm,Female,55-60,PB,21-27,5
throm_cvst,Female,55-60,PB,21-27,5
any_haem,Female,55-60,PB,21-27,1
CVT_SVT,Female,55-60,PB,21-27,0
any_itp,Female,55-60,PB,21-27,1
any_throm_haem,Male,55-60,PB,21-27,1
any_throm,Male,55-60,PB,21-27,1
throm_cvst,Male,55-60,PB,21-27,1
any_haem,Male,55-60,PB,21-27,1
CVT_SVT,Male,55-60,PB,21-27,0
any_itp,Male,55-60,PB,21-27,0
any_throm_haem,Female,50-55,PB,21-27,1
any_throm,Female,50-55,PB,21-27,0
throm_cvst,Female,50-55,PB,21-27,0
any_haem,Female,50-55,PB,21-27,1
CVT_SVT,Female,50-55,PB,21-27,0
any_itp,Female,50-55,PB,21-27,0
any_throm_haem,Male,50-55,PB,21-27,1
any_throm,Male,50-55,PB,21-27,1
throm_cvst,Male,50-55,PB,21-27,1
any_haem,Male,50-55,PB,21-27,1
CVT_SVT,Male,50-55,PB,21-27,0
any_itp,Male,50-55,PB,21-27,1
any_throm_haem,Female,45-50,PB,21-27,1
any_throm,Female,45-50,PB,21-27,1
throm_cvst,Female,45-50,PB,21-27,1
any_haem,Female,45-50,PB,21-27,0
CVT_SVT,Female,45-50,PB,21-27,0
any_itp,Female,45-50,PB,21-27,0
any_throm_haem,Male,45-50,PB,21-27,1
any_throm,Male,45-50,PB,21-27,1
throm_cvst,Male,45-50,PB,21-27,1
any_haem,Male,45-50,PB,21-27,1
CVT_SVT,Male,45-50,PB,21-27,0
any_itp,Male,45-50,PB,21-27,0
any_throm_haem,Female,40-45,PB,21-27,1
any_throm,Female,40-45,PB,21-27,1
throm_cvst,Female,40-45,PB,21-27,1
any_haem,Female,40-45,PB,21-27,0
CVT_SVT,Female,40-45,PB,21-27,0
any_itp,Female,40-45,PB,21-27,0
any_throm_haem,Male,40-45,PB,21-27,1
any_throm,Male,40-45,PB,21-27,1
throm_cvst,Male,40-45,PB,21-27,1
any_haem,Male,40-45,PB,21-27,1
CVT_SVT,Male,40-45,PB,21-27,0
any_itp,Male,40-45,PB,21-27,0
any_throm_haem,Female,35-40,PB,21-27,7
any_throm,Female,35-40,PB,21-27,5
throm_cvst,Female,35-40,PB,21-27,5
any_haem,Female,35-40,PB,21-27,1
CVT_SVT,Female,35-40,PB,21-27,0
any_itp,Female,35-40,PB,21-27,1
any_throm_haem,Male,35-40,PB,21-27,1
any_throm,Male,35-40,PB,21-27,1
throm_cvst,Male,35-40,PB,21-27,1
any_haem,Male,35-40,PB,21-27,0
CVT_SVT,Male,35-40,PB,21-27,0
any_itp,Male,35-40,PB,21-27,0
any_throm_haem,Female,30-35,PB,21-27,1
any_throm,Female,30-35,PB,21-27,1
throm_cvst,Female,30-35,PB,21-27,1
any_haem,Female,30-35,PB,21-27,0
CVT_SVT,Female,30-35,PB,21-27,0
any_itp,Female,30-35,PB,21-27,1
any_throm_haem,Male,30-35,PB,21-27,1
any_throm,Male,30-35,PB,21-27,1
throm_cvst,Male,30-35,PB,21-27,1
any_haem,Male,30-35,PB,21-27,0
CVT_SVT,Male,30-35,PB,21-27,0
any_itp,Male,30-35,PB,21-27,0
any_throm_haem,Female,25-30,PB,21-27,1
any_throm,Female,25-30,PB,21-27,1
throm_cvst,Female,25-30,PB,21-27,1
any_haem,Female,25-30,PB,21-27,0
CVT_SVT,Female,25-30,PB,21-27,0
any_itp,Female,25-30,PB,21-27,0
any_throm_haem,Male,25-30,PB,21-27,0
any_throm,Male,25-30,PB,21-27,0
throm_cvst,Male,25-30,PB,21-27,0
any_haem,Male,25-30,PB,21-27,0
CVT_SVT,Male,25-30,PB,21-27,0
any_itp,Male,25-30,PB,21-27,0
any_throm_haem,Female,15-20,PB,21-27,1
any_throm,Female,15-20,PB,21-27,0
throm_cvst,Female,15-20,PB,21-27,0
any_haem,Female,15-20,PB,21-27,0
CVT_SVT,Female,15-20,PB,21-27,0
any_itp,Female,15-20,PB,21-27,1
any_throm_haem,Male,15-20,PB,21-27,1
any_throm,Male,15-20,PB,21-27,1
throm_cvst,Male,15-20,PB,21-27,1
any_haem,Male,15-20,PB,21-27,0
CVT_SVT,Male,15-20,PB,21-27,0
any_itp,Male,15-20,PB,21-27,0
any_throm_haem,Female,90+,PB,21-27,0
any_throm,Female,90+,PB,21-27,0
throm_cvst,Female,90+,PB,21-27,0
any_haem,Female,90+,PB,21-27,0
CVT_SVT,Female,90+,PB,21-27,0
any_itp,Female,90+,PB,21-27,0
any_throm_haem,Male,90+,PB,21-27,0
any_throm,Male,90+,PB,21-27,0
throm_cvst,Male,90+,PB,21-27,0
any_haem,Male,90+,PB,21-27,0
CVT_SVT,Male,90+,PB,21-27,0
any_itp,Male,90+,PB,21-27,0
any_throm_haem,Female,85-90,PB,21-27,1
any_throm,Female,85-90,PB,21-27,1
throm_cvst,Female,85-90,PB,21-27,1
any_haem,Female,85-90,PB,21-27,0
CVT_SVT,Female,85-90,PB,21-27,0
any_itp,Female,85-90,PB,21-27,0
any_throm_haem,Male,85-90,PB,21-27,1
any_throm,Male,85-90,PB,21-27,1
throm_cvst,Male,85-90,PB,21-27,1
any_haem,Male,85-90,PB,21-27,0
CVT_SVT,Male,85-90,PB,21-27,0
any_itp,Male,85-90,PB,21-27,0
any_throm_haem,Female,80-85,PB,21-27,1
any_throm,Female,80-85,PB,21-27,1
throm_cvst,Female,80-85,PB,21-27,1
any_haem,Female,80-85,PB,21-27,1
CVT_SVT,Female,80-85,PB,21-27,0
any_itp,Female,80-85,PB,21-27,0
any_throm_haem,Male,80-85,PB,21-27,5
any_throm,Male,80-85,PB,21-27,5
throm_cvst,Male,80-85,PB,21-27,5
any_haem,Male,80-85,PB,21-27,0
CVT_SVT,Male,80-85,PB,21-27,0
any_itp,Male,80-85,PB,21-27,0
any_throm_haem,Female,20-25,PB,21-27,0
any_throm,Female,20-25,PB,21-27,0
throm_cvst,Female,20-25,PB,21-27,0
any_haem,Female,20-25,PB,21-27,0
CVT_SVT,Female,20-25,PB,21-27,0
any_itp,Female,20-25,PB,21-27,0
any_throm_haem,Male,20-25,PB,21-27,0
any_throm,Male,20-25,PB,21-27,0
throm_cvst,Male,20-25,PB,21-27,0
any_haem,Male,20-25,PB,21-27,0
CVT_SVT,Male,20-25,PB,21-27,0
any_itp,Male,20-25,PB,21-27,1
